Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
No traffic stops for 06/01/2015 
No traffic stops for 06/02/2015 
6/3/2015 9:26 AM,5600 S Stony Island,African American,Female,Traffic Sign/Signal,Stop Sign Violation, Failed to Yield to Pedestrians in Crosswalk,N/A,Verbal Warning,No
6/4/2015 5:44 PM,5900 S Ellis,African American,Female,Follow Too Close,Following too closely to vehicle stopped for pedestrians, disobeyed stop sign,N/A,Verbal Warning,No
No traffic stops for 06/05/2015 
No traffic stops for 06/06/2015 
No traffic stops for 06/07/2015 
No traffic stops for 06/08/2015 
No traffic stops for 06/09/2015 
No traffic stops for 06/10/2015 
No traffic stops for 06/11/2015 
No traffic stops for 06/12/2015 
No traffic stops for 06/13/2015 
No traffic stops for 06/14/2015 
No traffic stops for 06/15/2015 
No traffic stops for 06/16/2015 
No traffic stops for 06/17/2015 
No traffic stops for 06/18/2015 
No traffic stops for 06/19/2015 
No traffic stops for 06/20/2015 
No traffic stops for 06/21/2015 
No traffic stops for 06/22/2015 
There are no traffic stops for 06/23/2015 ,,,,,,,,
No traffic stops for 06/24/2015 
No traffic stops for 06/25/2015 
No traffic stops for 06/26/2015 
6/27/2015 11:36 AM,6121 S Cottage Grove,African American,Male,Lane Violation,Subject was driving erratically and cut off another vehicle without signaling,N/A,Verbal Warning,No
No traffic stops for 06/28/2015 
No traffic stops for 06/29/2015 
No traffic stops for 06/30/2015 
No traffic stops for 07/01/2015 
No traffic stops for 07/02/2015 
No traffic stops for 07/03/2015 
No traffic stops for 07/04/2015 
No traffic stops for 07/05/2015 
No traffic stops for 07/06/2015 
No traffic stops for 07/07/2015 
No traffic stops for 07/08/2015 
No traffic stops for 07/09/2015 
No traffic stops for 07/10/2015 
7/11/2015 10:04 PM,5500 S Cottage Grove,African American,Male,Moving Violation - Other,Failed to yield to CFD firetruck,N/A,Verbal Warning,No
7/11/2015 10:47 PM,5600 S Drexel,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
No traffic stops for 07/12/15 
No traffic stops for 07/14/2015 
No traffic stops for 07/15/2015 
7/16/2015 12:10PM,5400 S Lake Park,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
No traffic stops for 07/17/2015 
No traffic stops for 07/18/2015 
No traffic stops for 07/19/2015 
No traffic stops for 07/20/2015 
No traffic stops for 07/21/2015 
No traffic stops for 07/22/2015 
No traffic stops for 07/23/2015 
7/24/2015 12:42 PM,5700 S ELLIS,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
No traffic stops for 07/25/2015 
7/26/2015 11:21 AM,5201 S Woodlawn,African American,Male,Moving Violation - Other,Was observed by R/O leaving the scene of a traffic accident,N/A,Verbal Warning,No
No traffic stops for 07/27/2015 
No traffic stops for 07/28/2015 
7/29/2015 4:02 PM,5600 S Lake Park,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
No traffic stops for 07/30/2015 
No traffic stops for 07/31/2015 
No traffic stops for 08/01/2015 
No traffic stops for 08/02/2015 
No traffic stops for 08/03/2015 
No traffic stops for 08/04/2015 
No traffic stops for 08/05/2015 
No traffic stops for 08/06/2015 
No traffic stops for 08/07/2015 
No traffic stops for 08/08/2015 
No traffic stops for 08/09/2015 
No traffic stops for 08/10/2015 
No traffic stops for 08/11/2015 
No traffic stops for 08/12/2015 
No traffic stops for 08/13/2015 
No traffic stops for 08/14/2015 
No traffic stops for 08/15/2015 
No traffic stops for 08/16/2015 
No traffic stops for 08/17/2015 
No traffic stops for 08/18/2015 
8/20/2015 1:03 AM,5600 S Woodlawn,Asian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
No traffic stops for 08/20/2015 
